uid,loc_seq,cate_seq
3231,上海科技馆/田子坊/东方明珠,展馆/休闲场所/现代建筑
3231,上海科技馆/田子坊/东方明珠/上海动物园,展馆/休闲场所/现代建筑/动物园
3231,田子坊/东方明珠/上海动物园,休闲场所/现代建筑/动物园
3272,东方明珠/上海科技馆/上海科技馆,现代建筑/展馆/展馆
3420,田子坊/东方明珠/朱家角,休闲场所/现代建筑/古镇
3436,东方明珠/上海野生动物园/上海科技馆,现代建筑/动物园/展馆
3436,东方明珠/上海野生动物园/上海科技馆/田子坊,现代建筑/动物园/展馆/休闲场所
3436,上海野生动物园/上海科技馆/田子坊,动物园/展馆/休闲场所
3495,上海野生动物园/东方明珠/田子坊,动物园/现代建筑/休闲场所
3550,田子坊/东方明珠/上海野生动物园,休闲场所/现代建筑/动物园
3561,田子坊/东方明珠/上海科技馆,休闲场所/现代建筑/展馆
3623,顾村公园/东方明珠/田子坊,公园/现代建筑/休闲场所
3676,东方明珠/朱家角/田子坊,现代建筑/古镇/休闲场所
3729,田子坊/闵行体育公园/闵行体育公园,休闲场所/公园/公园
3780,东方明珠/上海科技馆/田子坊,现代建筑/展馆/休闲场所
3780,东方明珠/上海科技馆/田子坊/田子坊,现代建筑/展馆/休闲场所/休闲场所
3780,上海科技馆/田子坊/田子坊,展馆/休闲场所/休闲场所
3830,上海科技馆/上海野生动物园/东方明珠,展馆/动物园/现代建筑
3875,东方明珠/上海野生动物园/上海科技馆,现代建筑/动物园/展馆
3875,东方明珠/上海野生动物园/上海科技馆/田子坊,现代建筑/动物园/展馆/休闲场所
3875,上海野生动物园/上海科技馆/田子坊,动物园/展馆/休闲场所
3949,田子坊/上海科技馆/田子坊,休闲场所/展馆/休闲场所
3949,田子坊/上海科技馆/田子坊/东方明珠,休闲场所/展馆/休闲场所/现代建筑
3949,上海科技馆/田子坊/东方明珠,展馆/休闲场所/现代建筑
4058,东方明珠/古猗园/田子坊,现代建筑/公园/休闲场所
4058,东方明珠/古猗园/田子坊/上海科技馆,现代建筑/公园/休闲场所/展馆
4058,古猗园/田子坊/上海科技馆,公园/休闲场所/展馆
4085,田子坊/古猗园/顾村公园,休闲场所/公园/公园
4513,东方明珠/上海科技馆/田子坊,现代建筑/展馆/休闲场所
4569,上海动物园/田子坊/东方明珠,动物园/休闲场所/现代建筑
